id;Firstname;Lastname;Adress;RegistrationDate;Revenue;States
2348;Rutherford;Ford;San Luis Obispo North;25/05/2002;47612;HI
2349;Ulysses;Jackson;Westside Freeway;23/08/2005;48826;MD
2350;Millard;Eisenhower;Jean de la Fontaine;12/07/2003;15306;SD
2351;Theodore;Adams;Santa Ana Freeway;15/02/2006;16479;DE
2352;Chester;Hoover;Katella Avenue;28/10/1998;22834;NV
2353;Benjamin;Ford;San Luis Obispo North;01/01/2002;15506;NV
2354;Millard;Tyler;French Camp Turnpike Road;10/02/1999;86158;MI
2355;Herbert;Arthur;Milpas Street;19/10/1998;23777;SC
2356;Theodore;Taft;N Harrison St;16/06/2006;89934;DE
2357;Ronald;Hoover;Katella Avenue;04/12/1999;49045;KS
2358;Franklin;Johnson;East Fry Blvd.;11/08/1999;45225;MT
2359;Jimmy;Washington;Calle Real;21/11/2003;32283;NM
2360;Benjamin;Clinton;Carpinteria North;28/12/2005;88432;CT
2361;Dwight;Jackson;North Broadway Street;28/02/1998;32250;CO
2362;Woodrow;Eisenhower;San Marcos;28/05/1999;41495;WV
2363;Harry;Johnson;Harry S Truman Blvd;10/08/2003;61303;OR
2364;John;Taft;Burnett Road;08/04/2001;63341;MT
2365;Millard;Grant;Katella Avenue;22/08/1998;22483;NJ
2366;Woodrow;Washington;Westside Freeway;01/08/1998;52572;ID
2367;Andrew;Harding;East Fry Blvd.;22/11/2001;17819;HI
2368;Andrew;Grant;San Luis Obispo North;29/05/2002;51416;MS
2369;Gerald;Taylor;Greenwood Road;09/08/1998;37908;OR
2370;Theodore;Roosevelt;Carpinteria North;27/01/2004;30918;WI
2371;Martin;Van Buren;Carpinteria Avenue;25/07/1998;22736;OR
2372;Thomas;Roosevelt;Harry S Truman Blvd;05/12/1999;47395;KS
2373;George;Garfield;San Diego Freeway;21/09/2000;23741;MI
2374;Ulysses;Johnson;Timberlane Drive;08/10/2003;50114;ID
2375;John;Carter;East 1st Street;03/06/1999;17141;KS
2376;Chester;Johnson;East Calle Primera;14/11/2001;60257;AZ
2377;Calvin;Harding;Katella Avenue;22/03/2005;88498;CO
2378;Grover;Taft;120th;25/08/2003;91101;LA
2379;Franklin;Hoover;Moreno Drive;25/05/1999;88542;NJ
2380;Warren;Carter;Apalachee Parkway;08/12/1998;79472;NE
2381;Millard;Truman;Castillo Drive;04/01/2002;20239;NE
2382;Theodore;Cleveland;San Simeon;25/11/2001;98435;NC
2383;Ronald;Carter;Camelback Rd;28/08/2001;77118;PA
2384;Thomas;Reagan;East Fry Blvd.;03/08/2001;41239;OK
2385;Warren;Pierce;15th;20/10/1998;62833;NH
2386;Franklin;Washington;East Calle Primera;23/01/1999;36529;LA
2387;Franklin;Adams;Fairview Avenue;30/09/2000;81985;MS
2388;Ulysses;Monroe;East Fry Blvd.;15/03/2005;64759;NH
2389;Calvin;Coolidge;Bayshore Freeway;29/03/2004;72197;MS
2390;Harry;Madison;Tanger Blvd;13/02/1999;35917;SD
2391;George;Polk;Lindbergh Blvd;13/09/2001;67428;WI
2392;Theodore;Clinton;Jones Road;05/03/2000;58458;NY
2393;James;Pierce;Fairview Avenue;14/01/2002;22549;NH
2394;Richard;Monroe;San Simeon;27/08/2001;89497;OR
2395;Millard;Fillmore;Grandview Drive;02/03/2003;99160;KY
2396;Chester;Cleveland;North Ventu Park Road;19/01/2000;46258;NM
2397;Herbert;Cleveland;Lindbergh Blvd;26/01/2006;62660;ND
2398;Rutherford;Cleveland;Padre Boulevard;17/12/2002;18772;MO
2399;George;Grant;Tully Road East;19/07/1998;40567;MI
2400;Warren;Fillmore;Santa Ana Freeway;24/08/2006;43816;MS
2401;Bill;Carter;Carpinteria South;15/07/1998;32096;AZ
2402;Warren;Ford;Newbury Road;04/03/2006;70115;HI
2403;Zachary;Nixon;Carpinteria North;08/02/2004;58963;MN
2404;William;Jefferson;El Camino Real;12/03/2002;24782;AK
2405;Gerald;Hoover;San Simeon;18/01/2003;57477;WY
2406;Martin;Taft;Timberlane Drive;19/05/2004;71013;OR
2407;Grover;Eisenhower;Carpinteria South;07/02/2006;51839;MI
2408;Chester;Jackson;Burnett Road;08/06/2004;67036;NJ
2409;Jimmy;Johnson;Carpinteria South;17/10/2004;68725;MI
2410;James;Johnson;Erringer Road;09/10/1999;26309;GA
2411;Ronald;Grant;Camelback Rd;03/12/2006;63105;UT
2412;Zachary;Roosevelt;E Fowler Avenue;08/10/2004;48955;MO
2413;Harry;Tyler;S Rustle St;21/08/2005;35312;ME
2414;Thomas;Johnson;Castillo Drive;24/09/2004;84466;NE
2415;Gerald;Hayes;Padre Boulevard;10/03/1999;69359;UT
2416;Jimmy;Fillmore;Corona Del Mar;15/05/2005;65649;NY
2417;Chester;Roosevelt;Cerrillos Road;30/03/1998;22513;WA
2418;Warren;Wilson;North Broadway Street;02/01/1998;53808;PA
2419;Lyndon;Quincy Adams;Bowles Avenue;20/11/2002;36112;LA
2420;Thomas;McKinley;Santa Rosa North;24/04/2002;35213;AL
2421;Grover;Taylor;Calle Real;16/03/2003;67645;LA
2422;Ronald;Coolidge;East 1st Street;10/10/2006;88775;ID
2423;Harry;Madison;Tully Road East;06/07/2003;64061;OK
2424;Millard;McKinley;North Preisker Lane;09/09/2004;24996;UT
2425;Bill;Hoover;San Ysidro Blvd;10/03/1998;56338;RI
2426;Richard;Johnson;Katella Avenue;02/11/1999;26166;NC
2427;Ulysses;Monroe;Lindbergh Blvd;03/03/1998;85320;MT
2428;Jimmy;Reagan;Carpinteria North;05/10/1999;37814;KY
2429;James;Johnson;15th;10/01/2000;48765;MT
2430;Herbert;Jackson;Harry S Truman Blvd;05/09/2005;71395;AK
2431;Millard;Hayes;San Simeon;14/09/2005;99685;WV
2432;Warren;Harrison;North Erringer Road;16/01/1999;68236;IN
2433;Ulysses;Harrison;Harry S Truman Blvd;11/11/2002;65901;MA
2434;Warren;Arthur;N Harrison St;23/08/2005;44739;AR
2435;William;Clinton;Woodson Rd.;03/11/2004;50875;MO
2436;Gerald;Ford;French Camp Turnpike Road;18/06/2003;68813;ME
2437;Millard;Jefferson;Corona Del Mar;11/04/2006;55772;NM
2438;Grover;Lincoln;Steele Lane;09/01/1998;67588;NC
2439;Franklin;Monroe;South Roosevelt Drive;20/04/1998;62787;NC
2440;Franklin;Eisenhower;San Marcos;20/06/2004;96339;NH
2441;Zachary;Harrison;Via Real;27/05/1998;39707;OH
2442;Lyndon;Taft;S Rustle St;16/03/1999;78698;KY
2443;Jimmy;Grant;N Kentwood;24/11/2004;45738;OH
2444;Abraham;Pierce;124th;04/03/2003;98092;RI
2445;Franklin;Adams;Lindbergh Blvd;17/01/2002;78582;AL
2446;Harry;Quincy Adams;Castillo Drive;14/10/1999;70436;MS
2447;Bill;Jefferson;15th;23/09/2006;22733;LA
2448;Andrew;Harding;E Fowler Avenue;10/06/2002;58087;AL
2449;Jimmy;Lincoln;120th;02/11/2003;59076;WA
2450;Woodrow;Monroe;East 1st Street;12/09/2001;55030;SD
2451;Bill;Roosevelt;Carpinteria Avenue;24/03/2004;95691;WY
2452;Chester;Kennedy;Lindbergh Blvd;19/01/1999;53333;NE
2453;Benjamin;Hayes;Carpinteria Avenue;29/04/2000;19920;OH
2454;Jimmy;Cleveland;Katella Avenue;06/05/2001;30827;IL
2455;Woodrow;Lincoln;Monroe Street;05/05/1999;51707;NH
2456;Andrew;Garfield;East Calle Primera;23/10/2002;40072;OK
2457;Dwight;Ford;East Main Street;14/02/1999;28144;NH
2458;Woodrow;Madison;East Fry Blvd.;19/09/1999;38534;ND
2459;Harry;Van Buren;Santa Monica Road;16/08/2005;49309;CT
2460;Richard;Quincy Adams;Lake Tahoe Blvd.;31/08/2001;90039;NY
2461;Andrew;Lincoln;Carpinteria South;06/01/2002;55330;DE
2462;William;Roosevelt;W. Russell St.;04/07/2003;37468;PA
2463;Ulysses;Buchanan;North Erringer Road;20/05/2004;44697;OH
2464;Zachary;Garfield;Hutchinson Rd;07/11/1998;86704;NJ
2465;Chester;Coolidge;Bayshore Freeway;07/02/2006;33857;OR
2466;Jimmy;Garfield;Castillo Drive;04/04/1999;51817;CT
2467;James;Van Buren;East 1st Street;18/10/1999;28001;KS
2468;Woodrow;Reagan;Burnett Road;27/12/2004;51523;CT
2469;George;Hayes;Santa Rosa North;01/12/2004;93159;NE
2470;Martin;Madison;East Fry Blvd.;18/06/1999;46873;AZ
2471;Martin;Washington;Santa Ana Freeway;07/01/2002;79516;AR
2472;Woodrow;Adams;Cabrillo Highway;28/03/2003;20198;IN
2473;Ulysses;Jackson;Greenwood Road;18/07/1998;75970;AR
2474;Woodrow;Kennedy;W. Russell St.;19/09/1998;75303;IA
2475;Grover;Washington;Calle Real;06/05/2001;65970;KY
2476;James;Madison;Jones Road;26/05/2004;98913;MN
2477;Theodore;Hoover;Timberlane Drive;01/10/2003;44574;VA
2478;Martin;Adams;Santa Rosa North;27/10/2001;63372;HI
2479;Andrew;Tyler;Cleveland Ave.;20/04/2005;56772;WV
2480;Millard;Monroe;San Luis Obispo North;21/01/2003;70590;NH
2481;Millard;Grant;North Broadway Street;07/02/2001;67058;MI
2482;Grover;Lincoln;Milpas Street;28/11/2006;47224;TN
2483;Gerald;Pierce;Greenwood Road;16/10/2003;20247;AR
2484;Benjamin;Harrison;Apalachee Parkway;07/09/2005;81142;DE
2485;John;Roosevelt;Carpinteria North;14/02/1999;93554;NE
2486;James;Roosevelt;E Fowler Avenue;04/08/2006;49106;DE
2487;John;Clinton;124th;15/03/2006;59900;OR
2488;Ulysses;Roosevelt;Greenwood Road;16/10/2004;65720;WY
2489;Gerald;Polk;Redwood Highway;11/05/1999;12499;NJ
2490;Benjamin;Cleveland;Cleveland Ave.;20/01/1998;43632;PA
2491;George;Polk;San Simeon;22/07/2006;20665;NE
2492;Harry;Reagan;Woodson Rd.;14/01/1998;74965;AK
2493;Andrew;Tyler;N Kentwood;22/07/2006;66885;VA
2494;John;Monroe;North Atherton Street;13/03/2002;14026;ME
2495;Calvin;Taylor;San Simeon;09/08/2002;85144;NM
2496;Thomas;Quincy Adams;Tanger Blvd;06/05/1998;61249;OK
2497;Franklin;Hayes;N Kentwood;11/10/2002;10494;WI
2498;Ulysses;Buchanan;Bayshore Freeway;07/10/2001;98383;WY
2499;Dwight;Johnson;Bayshore Freeway;20/12/2005;19871;AK
2500;Andrew;Arthur;Lawrenceville Suwanee;18/01/1999;24941;GA
2501;Ronald;Grant;Steele Lane;29/06/2002;64171;CO
2502;Gerald;Cleveland;Westside Freeway;16/06/2005;15902;OR
2503;Franklin;Harrison;South Roosevelt Drive;13/04/1998;41555;OK
2504;Jimmy;Van Buren;Harry S Truman Blvd;02/01/2002;70645;NV
2505;William;Quincy Adams;N Kentwood;01/10/1999;72048;GA
2506;Grover;Quincy Adams;Cleveland Ave.;27/01/2004;23150;CT
2507;Harry;Adams;Lindbergh Blvd;07/04/2004;63330;MO
2508;Franklin;Tyler;E Fowler Avenue;22/09/2000;13449;KY
2509;Benjamin;Hayes;South Highway;05/04/2005;97825;ND
2510;Benjamin;Harrison;Pacific Hwy S;11/08/1998;70310;NV
2511;Ronald;Van Buren;San Simeon;02/12/2002;21005;IA
2512;Calvin;Pierce;Richmond Hill;29/06/1999;65187;NC
2513;Benjamin;Carter;San Marcos;23/07/2002;30984;AK
2514;Martin;Cleveland;East Calle Primera;30/05/2001;37422;IL
2515;William;Monroe;Castillo Drive;02/08/2000;19316;WV
2516;Benjamin;Hayes;Redwood Highway;24/06/2005;80675;SD
2517;Harry;Taft;Padre Boulevard;07/02/2003;93076;PA
2518;Ulysses;Grant;Redwood Highway;14/04/2001;60642;MD
2519;Gerald;Polk;Monroe Street;12/02/2005;28174;NM
2520;Jimmy;Taft;Newbury Road;28/11/2002;63973;NJ
2521;James;Van Buren;Erringer Road;29/05/2002;83936;TX
2522;Calvin;Jackson;S Rustle St;14/08/2000;48491;CT
2523;Woodrow;Polk;Harbor Dr;24/12/1999;28913;PA
2524;Warren;Kennedy;N Harrison St;18/02/1999;44621;GA
2525;Thomas;Grant;Greenwood Road;04/03/1999;67961;WV
2526;Bill;Kennedy;Calle Real;12/07/1998;98100;AR
2527;Grover;Washington;Bailard Avenue;18/05/1999;70551;WI
2528;George;Polk;Corona Del Mar;14/10/1998;43906;IL
2529;Theodore;Hayes;Timberlane Drive;23/05/2005;70345;OK
2530;Richard;Pierce;East Fry Blvd.;11/12/2000;11466;ME
2531;Franklin;Harrison;Bailard Avenue;22/05/2004;56022;AR
2532;Jimmy;Jackson;Bowles Avenue;23/11/2004;41099;ID
2533;Ulysses;Harrison;Carpinteria North;07/07/2002;43335;GA
2534;Andrew;Jackson;Grandview Drive;14/10/2003;71702;AL
2535;Martin;Arthur;Milpas Street;05/02/2004;68442;WA
2536;James;Johnson;Milpas Street;14/01/2002;29709;VT
2537;James;Harding;Cabrillo Highway;10/07/2005;12474;MT
2538;Chester;Harrison;Corona Del Mar;15/01/2003;19275;IN
2539;Harry;Kennedy;Woodson Rd.;09/09/2003;67352;IA
2540;Warren;Cleveland;Jones Road;30/05/2002;73735;NE
2541;Theodore;McKinley;Richmond Hill;05/02/2001;42860;LA
2542;William;Harrison;Richmond Hill;30/11/2004;98276;WV
2543;Abraham;McKinley;Santa Ana Freeway;07/08/1998;34966;ND
2544;Theodore;Cleveland;N Kentwood;02/01/2002;93911;IA
2545;Ronald;Washington;Pacific Hwy S;19/09/2002;25392;IA
2546;John;Adams;Santa Rosa South;18/12/1999;32651;TX
2547;Franklin;Adams;Greenwood Road;20/08/2002;32428;IA
2548;George;Truman;Corona Del Mar;15/09/1999;13963;ID
2549;Woodrow;Polk;San Marcos;15/10/2006;93016;MD
2550;Harry;Washington;Monroe Street;08/03/2000;72466;AL
2551;Zachary;Jackson;San Simeon;05/02/2004;76056;MN
2552;Warren;Clinton;Via Real;04/06/1998;86858;ME
2553;Bill;Garfield;124th;15/10/2002;46983;OH
2554;Richard;Taylor;Santa Ana Freeway;05/03/2004;60142;SC
2555;Gerald;Harding;Carpinteria North;26/11/2002;13589;SC
2556;Ulysses;Taft;Newbury Road;22/03/2006;51042;UT
2557;Chester;Coolidge;East Calle Primera;13/05/2001;43091;CO
2558;Benjamin;Harding;Santa Monica Road;03/04/1998;26718;FL
2559;Richard;Polk;Richmond Hill;19/09/2002;30448;IN
2560;Zachary;Hoover;Cabrillo Highway;09/06/2001;86707;NH
2561;Warren;Fillmore;Moreno Drive;21/06/1999;17940;FL
2562;Benjamin;Cleveland;Jean de la Fontaine;23/07/2002;68101;WV
2563;Bill;Johnson;El Camino Real;26/01/2003;75981;MA
2564;Martin;Hoover;South Highway;22/10/2005;62026;IL
2565;Dwight;Harrison;Timberlane Drive;01/07/1999;15185;KY
2566;Rutherford;Nixon;Harry S Truman Blvd;14/03/2000;41305;WI
2567;John;Carter;Pacific Hwy S;28/06/2000;99704;AR
2568;Benjamin;Taylor;San Luis Obispo North;06/08/2004;39424;WA
2569;George;Monroe;Apalachee Parkway;23/05/2001;61776;PA
2570;Calvin;Fillmore;Corona Del Mar;19/05/2001;70711;VT
2571;Jimmy;Roosevelt;East Fry Blvd.;16/08/1998;17564;MA
2572;Franklin;Van Buren;San Marcos;21/09/2001;61798;TN
2573;Woodrow;Quincy Adams;Harbor Dr;11/10/2003;44217;NY
2574;Rutherford;Harrison;Lawrenceville Suwanee;05/07/1999;64306;AL
2575;John;McKinley;Santa Rosa North;10/05/2000;38185;KY
2576;George;Hoover;East Calle Primera;12/11/2002;28792;WA
2577;Woodrow;Harding;124th;02/02/2005;34810;WV
2578;Martin;Polk;Calle Real;01/05/1999;39949;AL
2579;Calvin;Wilson;French Camp Turnpike Road;13/12/1999;89116;NJ
2580;George;Johnson;Steele Lane;15/08/1998;23040;UT
2581;Warren;Eisenhower;Tanger Blvd;11/09/2004;77909;IL
2582;Grover;Truman;Tanger Blvd;22/01/2000;91607;HI
2583;Lyndon;Kennedy;Tully Road East;26/02/2002;53077;UT
2584;Grover;Eisenhower;124th;07/08/2001;96408;KS
2585;Harry;Monroe;Burnett Road;07/01/2004;66173;ID
2586;Richard;Wilson;Timberlane Drive;29/06/2005;85614;VA
2587;Ulysses;Hoover;Bailard Avenue;07/05/2005;94222;MS
2588;Jimmy;Arthur;Westside Freeway;27/07/2002;56255;OK
2589;John;Madison;French Camp Turnpike Road;29/08/1998;66805;TX
2590;George;Harding;Katella Avenue;24/02/1998;76915;AR
2591;Warren;Pierce;North Atherton Street;23/08/2002;84372;AK
2592;William;Truman;S Rustle St;29/07/1998;61677;MD
2593;Dwight;Adams;Harry S Truman Blvd;10/07/2006;17811;AR
2594;Theodore;Quincy Adams;North Preisker Lane;16/05/2003;95320;IL
2595;Warren;Reagan;Jones Road;08/01/2001;19278;UT
2596;Dwight;Van Buren;Fairview Avenue;17/01/2003;49757;UT
2597;Theodore;Taft;Tully Road East;16/12/2005;54253;MN
2598;William;Harding;Lindbergh Blvd;23/06/2000;21747;IL
2599;Herbert;Reagan;San Diego Freeway;20/06/2004;74872;VA
2600;Woodrow;Grant;Tully Road East;16/12/2001;61817;ND
2601;Millard;Johnson;Woodson Rd.;12/11/1999;24488;NC
2602;Millard;Buchanan;Via Real;11/11/2004;94483;IA
2603;Herbert;Coolidge;North Erringer Road;30/01/2006;33500;AR
2604;Ulysses;Ford;East Main Street;04/12/1999;29671;DE
2605;Chester;Taft;El Camino Real;25/10/1998;86421;MS
2606;Richard;Cleveland;Burnett Road;22/02/2006;65429;SD
2607;Dwight;Johnson;Tanger Blvd;16/03/1998;60197;MD
2608;Abraham;Tyler;East 1st Street;04/05/2003;11862;RI
2609;Ronald;Quincy Adams;15th;14/03/2004;43766;MS
2610;Rutherford;Pierce;Harry S Truman Blvd;11/04/2005;66344;WY
2611;William;Jefferson;Westside Freeway;18/07/2000;38910;NV
2612;Calvin;Fillmore;Hutchinson Rd;30/06/2003;69933;NJ
2613;Herbert;Monroe;Calle Real;05/05/2000;32286;MS
2614;James;Jefferson;Jean de la Fontaine;03/09/2006;35101;ID
2615;Rutherford;Clinton;North Ventu Park Road;24/04/1998;78775;TN
2616;Warren;Buchanan;South Highway;14/09/2004;54657;CO
2617;Thomas;Truman;Harry S Truman Blvd;11/08/2000;36037;CA
2618;Theodore;Hoover;Apalachee Parkway;02/05/2001;41943;ID
2619;James;Coolidge;N Harrison St;30/04/2006;30344;ME
2620;John;Roosevelt;Bailard Avenue;12/06/1998;22296;IN
2621;Ronald;Pierce;East Main Street;26/07/2003;33634;VT
2622;Benjamin;Garfield;French Camp Turnpike Road;22/12/2003;75720;NC
2623;Dwight;McKinley;120th;03/03/1998;81848;OH
2624;Martin;Hayes;San Ysidro Blvd;14/06/2000;20854;AL
2625;Zachary;Grant;120th;25/01/2003;54492;IA
2626;Zachary;Kennedy;Lawrenceville Suwanee;24/02/2000;10148;AK
2627;Bill;Madison;North Erringer Road;06/04/2006;95449;SD
2628;Richard;Taft;Milpas Street;14/11/2006;56321;AL
2629;Abraham;Arthur;Katella Avenue;01/06/1998;55071;AZ
2630;John;Monroe;Moreno Drive;16/05/2001;20052;IN
2631;Chester;Pierce;Pacific Hwy S;20/01/2006;23477;UT
2632;Chester;Fillmore;Fontaine Road;17/05/2004;58925;MA
2633;Grover;Taft;120th;15/06/2004;65138;IN
2634;Grover;Taft;Newbury Road;02/04/2001;97627;OK
2635;Gerald;Taylor;San Ysidro Blvd;02/02/1998;54690;OR
2636;Richard;Truman;North Ventu Park Road;15/04/1998;29385;MI
2637;Martin;Johnson;Erringer Road;22/09/1998;64009;AR
2638;George;Hayes;120th;08/08/2003;18673;IA
2639;Richard;Monroe;N Kentwood;29/02/2000;40525;IA
2640;Richard;Nixon;Jones Road;09/09/2004;95153;ME
2641;Harry;Eisenhower;Harbor Dr;24/07/2003;36798;NJ
2642;Harry;Tyler;Newbury Road;29/07/2005;28863;KY
2643;Harry;Quincy Adams;Newbury Road;09/06/2003;91340;MI
2644;Herbert;Polk;Calle Real;03/08/2006;26674;AK
2645;Gerald;Eisenhower;Tully Road East;28/03/2006;30676;TX
2646;Woodrow;Taylor;Fontaine Road;18/10/1998;89978;MA
2647;Millard;Washington;Carpinteria Avenue;30/07/2000;92673;WY
2648;Theodore;Van Buren;Bailard Avenue;03/01/2000;13631;TN
2649;Harry;Jefferson;East Fry Blvd.;30/01/2005;31107;CA
2650;Abraham;Taylor;North Preisker Lane;18/06/2006;26158;MT
2651;Martin;Jefferson;Padre Boulevard;10/11/2004;31484;OK
2652;Chester;Buchanan;San Diego Freeway;09/02/2004;91192;MT
2653;Abraham;Polk;E Fowler Avenue;09/08/2001;18110;MN
2654;Grover;Taft;East Main Street;01/07/2003;30165;ME
2655;James;Roosevelt;Richmond Hill;23/04/2006;52413;NJ
2656;Benjamin;Quincy Adams;Lake Tahoe Blvd.;06/05/1999;16265;AL
2657;Thomas;Kennedy;Corona Del Mar;15/08/2001;22508;OR
2658;George;Eisenhower;Burnett Road;29/08/1998;89621;WA
2659;Warren;Tyler;Harry S Truman Blvd;25/10/1999;64023;CA
2660;Thomas;Tyler;Timberlane Drive;22/07/2000;43750;HI
2661;Warren;Harrison;Erringer Road;19/05/1998;92167;WV
2662;Benjamin;Arthur;Westside Freeway;30/08/1999;43255;NY
2663;Calvin;Harding;Steele Lane;04/04/2004;65053;PA
2664;Jimmy;Tyler;Santa Rosa North;15/02/2004;82776;SD
2665;Ronald;Monroe;Padre Boulevard;07/09/2000;78258;NY
2666;Ronald;Pierce;Tanger Blvd;24/04/2005;87171;MT
2667;Woodrow;Ford;124th;26/08/2000;20665;OR
2668;Bill;Polk;124th;26/01/1998;22972;TN
2669;Thomas;McKinley;Santa Rosa North;09/01/1998;51506;TN
2670;Theodore;Harrison;East Calle Primera;20/08/2006;21077;PA
2671;Theodore;Carter;Timberlane Drive;28/03/2005;98707;MO
2672;Lyndon;Harding;Erringer Road;10/03/1999;60696;UT
2673;William;Taft;French Camp Turnpike Road;07/09/2006;88435;SC
2674;James;Grant;124th;26/12/2005;24546;LA
2675;Warren;Buchanan;Bowles Avenue;24/08/1998;95938;SC
2676;Franklin;Harrison;Richmond Hill;06/03/2000;35296;OK
2677;Thomas;Tyler;Grandview Drive;26/11/1998;57609;KY
2678;Lyndon;Johnson;East 1st Street;09/03/2000;83268;RI
2679;William;Arthur;Bowles Avenue;22/12/1998;34304;MD
2680;Abraham;Eisenhower;Pacific Hwy S;07/10/2006;25364;AZ
2681;Richard;Hoover;Moreno Drive;12/12/2002;35914;OR
2682;William;Eisenhower;Richmond Hill;25/08/1999;45291;MI
2683;Franklin;Quincy Adams;Timberlane Drive;18/12/1999;37177;UT
2684;Chester;Van Buren;Greenwood Road;29/10/2002;44978;VT
2685;Grover;Carter;Santa Monica Road;15/04/2005;94765;NH
2686;Herbert;Cleveland;Moreno Drive;26/06/2002;37282;NM
2687;Ulysses;Truman;Bailard Avenue;31/01/1999;25595;NE
2688;Ulysses;Pierce;Lindbergh Blvd;04/07/2005;99946;NY
2689;Warren;Washington;Newbury Road;11/09/2005;86394;KS
2690;Zachary;McKinley;15th;29/08/2004;70768;MD
2691;Theodore;Madison;Via Real;07/09/1998;44530;MI
2692;Zachary;Roosevelt;Lindbergh Blvd;13/05/2003;64072;OK
2693;Warren;Fillmore;San Diego Freeway;15/05/2000;60073;MT
2694;Lyndon;Harrison;Pacific Hwy S;06/02/2001;98391;NE
2695;Dwight;McKinley;El Camino Real;06/02/1998;49125;WY
2696;Zachary;Roosevelt;Richmond Hill;19/06/2002;95403;ND
2697;Herbert;Wilson;Camelback Rd;24/01/2001;48383;WY
2698;Herbert;Lincoln;Burnett Road;22/10/2004;70150;VA
2699;James;Madison;120th;16/10/2003;50957;OH
2700;Calvin;Van Buren;W. Russell St.;16/07/2000;62463;TX
2701;Warren;Carter;San Marcos;23/03/2000;33450;UT
2702;Richard;Buchanan;Jean de la Fontaine;06/01/2003;79665;IN
2703;Bill;Eisenhower;Jones Road;17/06/2003;84271;AK
2704;James;Reagan;San Ysidro Blvd;02/02/2006;50520;MS
2705;Richard;Kennedy;North Atherton Street;03/02/1999;93203;ID
2706;Harry;Quincy Adams;Lawrenceville Suwanee;11/04/2003;60419;NM
2707;Calvin;Hayes;San Ysidro Blvd;07/03/2003;82235;OK
2708;Chester;Harrison;Jones Road;09/07/2003;57832;NC
2709;Lyndon;Kennedy;W. Russell St.;06/11/1999;97622;WV
2710;John;Johnson;Fontaine Road;14/08/1998;22002;OH
2711;Millard;Buchanan;North Atherton Street;06/07/2001;23205;UT
2712;Woodrow;Grant;East Fry Blvd.;03/04/1999;51891;VA
2713;Ronald;Jefferson;N Harrison St;21/09/2006;34985;ND
2714;John;Jefferson;Richmond Hill;25/08/2004;16372;IN
2715;Thomas;Coolidge;E Fowler Avenue;24/08/1999;76951;NY
2716;Richard;Ford;Timberlane Drive;12/11/2004;25680;ND
2717;Benjamin;Garfield;Castillo Drive;20/02/2000;68129;MI
2718;Dwight;Taylor;Tanger Blvd;12/09/2006;14100;VA
2719;Calvin;Jackson;Santa Monica Road;03/07/2002;30923;OH
2720;Woodrow;Van Buren;Bayshore Freeway;21/03/2002;53923;UT
2721;Ulysses;Taft;15th;23/10/2000;50680;UT
2722;Millard;Reagan;Harry S Truman Blvd;04/12/2005;50622;MI
2723;Thomas;Jefferson;Santa Rosa North;20/11/2001;66500;AK
2724;Woodrow;Harrison;Santa Rosa North;23/07/1998;79324;WI
2725;Woodrow;Tyler;Lawrenceville Suwanee;25/11/1998;33321;AL
2726;James;Eisenhower;Bayshore Freeway;18/06/2002;12482;OR
2727;Theodore;Hoover;Grandview Drive;03/08/2004;95232;IL
2728;Gerald;Monroe;Santa Ana Freeway;30/08/2000;58834;TN
2729;William;Monroe;Tanger Blvd;11/02/2000;50040;KY
2730;Ulysses;Truman;Steele Lane;06/07/2005;53591;DE
2731;Lyndon;Buchanan;15th;09/07/2006;85097;PA
2732;George;Van Buren;North Preisker Lane;18/12/2006;19887;PA
2733;Herbert;Quincy Adams;Lawrenceville Suwanee;05/11/1999;84367;OR
2734;Calvin;Buchanan;Moreno Drive;05/07/1998;21472;IA
2735;Richard;Madison;East 1st Street;01/11/2002;26748;FL
2736;Millard;Kennedy;Fairview Avenue;03/09/1999;26658;MA
2737;Martin;Garfield;Fontaine Road;18/04/2002;35639;SC
2738;Benjamin;Harrison;Harry S Truman Blvd;18/03/2003;53511;IL
2739;Millard;Nixon;North Broadway Street;22/01/1998;79766;CT
2740;George;Kennedy;Cabrillo Highway;19/11/1999;56307;WV
2741;Ulysses;Hoover;Richmond Hill;04/08/2003;45241;MT
2742;Millard;Lincoln;East Calle Primera;07/11/1999;93211;SD
2743;Jimmy;Harrison;Jean de la Fontaine;18/03/1998;88901;GA
2744;James;Harrison;Via Real;23/09/2005;55236;AZ
2745;Andrew;Quincy Adams;Camelback Rd;03/12/2001;12859;TN
2746;Herbert;Eisenhower;North Broadway Street;29/03/2000;36433;UT
2747;Dwight;Tyler;Carpinteria Avenue;03/12/2002;90338;NJ
2748;Harry;Roosevelt;Pacific Hwy S;30/06/2002;85336;WV
2749;Zachary;Kennedy;124th;30/08/1998;12732;WY
2750;Andrew;Grant;North Ventu Park Road;28/11/2003;57653;NJ
2751;Martin;Adams;El Camino Real;01/08/2006;97935;PA
2752;Warren;Ford;Santa Monica Road;26/09/1999;20228;NM
2753;Warren;Harrison;120th;25/06/1999;79898;IL
2754;Jimmy;Clinton;Santa Rosa North;23/03/1999;36213;ME
2755;Millard;Taylor;Castillo Drive;12/06/1999;69469;NJ
2756;Bill;McKinley;South Roosevelt Drive;27/05/2005;51534;WI
2757;Martin;Washington;South Roosevelt Drive;26/06/2006;86446;NE
2758;Theodore;Harrison;Bayshore Freeway;04/07/2000;62567;KY
